classid,TH_name,EN_name,Semester,Section,Year
592153,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2561,650501,2561
605457,"วข.205
พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล","DSI205
BASICS OF LINEAR ALGEBRA FOR DATA ANALYTICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,650501,2562
605979,"วข.202
การพัฒนาซอฟท์แวร์ขั้นสมบูรณ์","DSI202
FULL STACK SOFTWARE DEVELOPMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,650501,2562
606085,"มธ.101
โลก อาเซียน และไทย","TU101
THAILAND, ASEAN, AND THE WORLD",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,650501,2562
606572,"มธ.104
การคิด อ่าน และเขียนอย่างมีวิจารณญาณ","TU104
CRITICAL THINKING, READING, AND WRITING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,650501,2562
606575,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,650501,2562
614440,"มธ.106
ความคิดสร้างสรรค์และการสื่อสาร","TU106
CREATIVITY AND COMMUNICATION",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2562,650501,2562
614441,"วข.202
การพัฒนาซอฟท์แวร์ขั้นสมบูรณ์","DSI202
FULL STACK SOFTWARE DEVELOPMENT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2562,650501,2562
614446,"วข.203
การแก้ปัญหาภายใต้ความไม่แน่นอน","DSI203
PROBLEM SOLVING UNDER UNCERTAINTY",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2562,650501,2562
614447,"วข.205
พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล","DSI205
BASICS OF LINEAR ALGEBRA FOR DATA ANALYTICS",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2562,650501,2562
630182,"วข.206
การจัดการข้อมูลสื่อประสม","DSI206
MULTIMEDIA REPRESENTATION MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
630183,"วข.206
การจัดการข้อมูลสื่อประสม","DSI206
MULTIMEDIA REPRESENTATION MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650502,2563
630188,"วข.310
การสำรวจและการเตรียมข้อมูล","DSI310
DATA EXPLORATION AND PREPROCESSING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
630189,"วข.311
อัลกอริทึมของวิทยาศาสตร์ข้อมูล","DSI311
DATA SCIENCE ALGORITHMS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
630192,"วข.313
การวิเคราะห์การตลาด","DSI313
MARKETING ANALYTICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
630197,"วข.204
การคิดเชิงความน่าจะเป็น","DSI204
PROBABILITY THINKING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
630200,"ดท.313
กฎหมายธุรกิจและเทคโนโลยีสารสนเทศ","DX313
BUSINESS AND INFORMATION TECHNOLOGY LAWS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
630204,"มธ.131
มนุษย์กับวิทยาศาสตร์กายภาพ","TU131
MAN AND PHYSICAL SCIENCE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
633687,"มธ.108
การพัฒนาและจัดการตนเอง","TU108
SELF DEVELOPMENT AND MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
633697,"มธ.104
การคิด อ่าน และเขียนอย่างมีวิจารณญาณ","TU104
CRITICAL THINKING, READING, AND WRITING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
633699,"มธ.104
การคิด อ่าน และเขียนอย่างมีวิจารณญาณ","TU104
CRITICAL THINKING, READING, AND WRITING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650502,2563
633700,"มธ.104
การคิด อ่าน และเขียนอย่างมีวิจารณญาณ","TU104
CRITICAL THINKING, READING, AND WRITING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650503,2563
633706,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650501,2563
633708,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650502,2563
633710,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,650503,2563
638268,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,650001,2563
639287,"วข.321
โครงสร้างพื้นฐานคอมพิวเตอร์สำหรับการประมวลข้อมูลขนาดใหญ่","DSI321
BIG DATA INFRASTRUCTURE",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,650501,2563
639323,"วข.323
แพลตฟอร์มของธรรมาภิบาลข้อมูล","DSI323
DATA GOVERNANCE PLATFORM",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,650501,2563
639360,"มธ.107
ทักษะดิจิทัลกับการแก้ปัญหา","TU107
DIGITAL SKILL AND PROBLEM SOLVING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,650501,2563
639367,"วข.207
การหาค่าเหมาะที่สุดเบื้องต้น","DSI207
INTRODUCTION TO OPTIMIZATION",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,650501,2563
639370,"ดท.310
นวัตกรรมและผู้ประกอบการ","DX310
INNOVATION AND ENTREPRENEURSHIP",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,650501,2563
639371,"ดท.311
การตลาดเชิงสร้างสรรค์","DX311
INNOVATIVE MARKETING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,650501,2563
